pdf	pdf.name	REF	Pages	Abstract
233	Janzen1967.pdf	Janzen D.H. 1967. Why mountain passes are higher in the tropics. The American Naturalist 101:233	1	"This paper is designed to draw attention to the relation between tropical climatic uniformity at a given site and the effectiveness of topographic bar- riers adjacent to the site in preventing movements of plants and animals. This is not an attempt to explain tropical species diversity (see Pianka, 1966, for a review of this subject), but rather to discuss a factor that should be considered in any discussion of the relation between topographic and climatic diversity, and population isolation. Simpson (1964) states that ""Small population ranges and numerous barriers against the spread and sym- patry of related populations would therefore tend to increase density of species in a region as a whole. It will be suggested below that this is a factor in the increase of species densities in regions of high topographic relief. I do not, however, know of any evidence that it is more general or more effective in the tropics."" I believe that the climatic regimes discussed below, and the reactions of organisms to them, indicate that topographic barriers may be more effective in the tropics. Mountain barriers and their temperature gradients in Central America, as contrasted to those in North America, are used as examples; but it is believed that the central idea equally applies to other tropical areas, types of barriers, and physical parameters. There are three thoughts central to the argument to be developed: (1) in respect to temperature, it is the temperature gradient across a mountain range which determines its effectiveness as a barrier, rather than the abso- lute height; (2) in Central America, terrestrial temperature regimes are gen- erally more uniform than North American ones, and differ in their patterns of overlap across geographic barriers; and (3) it can be assumed that animals and plants are evolutionarily adapted to, and/or have the ability to acclimate to, the temperatures normally encountered in their temporal and geographic habitat (or microhabitat)."
234	Janzen1982.pdf	"Janzen, D.H.; Martin, P.S. 1982. Neotropical Anachronisms: The Fruits the Gomphotheres Ate. Science 215:19-27"	9	"Frugivory by extinct horses, gomphotheres, ground sloths, and other Pleistocene megafauna offers a key to understanding certain plant reproductive traits in Central American lowland forests. When over 15 genera of Central American large herbivores became extinct roughly 10,000 years ago, seed dispersal and subsequent distributions of many plant species were altered. Introduction of horses and cattle may have in part restored the local ranges of such trees as jicaro (Crescentia alata) and guanacaste (Enterolobium cyclocarpum) that had large mammals as dispersal agents. Plant distributions in neotropical forest and grassland mixes that are moderately and patchily browsed by free-ranging livestock may be more like those before megafaunal extinction than were those present at the time of Spanish conquest."
235	Janzen1970.pdf	"Janzen, D.H. 1970. Herbivores and the Number of Tree Species in Tropical Forests. The American Naturalist 104:501"	1	"Wet lowland tropical forests characteristically have many tree species and low density of adults of each species compared with temperate-zone forests in habitats of similar areal extent, topographic diversity, and edaphic complexity (Black, Dobzhansky, and Pavan 1950 ; Richards 1952 ; Poore 1968; Ashton 1969). Despite reports that adults of some species of lowland tropical trees show clumped distributions (Poore 1968; Ashton 1969), I believe that a third generalization is possible about tropical tree species as contrasted with temperate ones: for most species of lowland tropical trees, adults do not produce new adults in their immediate vicinity (where most seeds fall). Because of this, most adults of a given tree species appear to be more regularly distributed than if the probability of a new adult appearing at a point in the forest were proportional to the number of seeds arriving at that point. This generalization is based on my observa- tions in Central and South American mainland forests, on discussions with foresters familiar with these forests, on discussions with J. H. Connell about Australian rain forests, and on data given in the papers cited above."
236	Johnson2002.pdf	"Johnson, C.N. 2002. Determinants of loss of mammal species during the Late Quaternary 'megafauna' extinctions: life history and ecology, but not body size. Proceedings of the royal society B-Biological Sciences 269:2221-2227"	7	"Extinctions of megafauna species during the Late Quaternary dramatically reduced the global diversity of mammals. There is intense debate over the causes of these extinctions, especially regarding the extent to which humans were involved. Most previous analyses of this question have focused on chronologies of extinction and on the archaeological evidence for human-megafauna interaction. Here, I take an alternative approach: comparison of the biological traits of extinct species with those of survivors. I use this to demonstrate two general features of the selectivity of Late Quaternary mammal extinctions in Australia, Eurasia, the Americas and Madagascar. First, large size was not directly related to risk of extinction; rather, species with slow reproductive rates were at high risk regardless of their body size. This finding rejects the 'blitzkrieg' model of overkill, in which extinctions were completed during brief intervals of selective hunting of large-bodied prey. Second, species that survived despite having low reproductive rates typically occurred in closed habitats and many were arboreal or nocturnal. Such traits would have reduced their exposure to direct interaction with people. Therefore, although this analysis rejects blitzkrieg as a general scenario for the mammal megafauna extinctions, it is consistent with extinctions being due to interaction with human populations."
237	Johnson1980.pdf	"Johnson, D. 1980. The comparison of usage and availability measurements for evaluating resource preference. Ecology 61:65-71"	7	"Modern ecological research often involves the comparison of the usage of habitat types or food items to the availability of those resources to the animal. Widely used methods of determining preference from measurements of usage and availability depend critically on the array of components that the researcher, often with a degree of arbitrariness, deems available to the animal. This paper proposes a new method, based on ranks of components by usage and by availability. A virtue of the rank procedure is that it provides comparable results whether a questionable component is included or excluded from consideration. Statistical tests of significance are given for the method. The paper also offers a hierarchical ordering of selection processes. This hierarchy resolves certain inconsistencies among studies of selection and is compatible with the analytic technique offered in the paper. Key"
238	Johnson2004.pdf	"Johnson, J.B.; Omland, K.S. 2004. Model selection in ecology and evolution. Trends in Ecology & Evolution 19:101-108"	8	"Recently, researchers in several areas of ecology and evolution have begun to change the way in which they analyze data and make biological inferences. Rather than the traditional null hypothesis testing approach, they have adopted an approach called model selection, in which several competing hypotheses are simultaneously confronted with data. Model selection can be used to identify a single best model, thus lending support to one particular hypothesis, or it can be used to make inferences based on weighted support from a complete set of competing models. Model selection is widely accepted and well developed in certain fields, most notably in molecular systematics and mark-recapture analysis. However, it is now gaining support in several other areas, from molecular evolution to landscape ecology. Here, we outline the steps of model selection and highlight several ways that it is now being implemented. By adopting this approach, researchers in ecology and evolution will find a valuable alternative to traditional null hypothesis testing, especially when more than one hypothesis is plausible."
239	Johnson1997.pdf	"Johnson, N.C.; Graham, J.H.; Smith, F.A. 1997. Functioning of mycorrhizal associations along the mutualism-parasitism continuum. New Phytologist 135:575-586"	12	"A great diversity of plants and fungi engage in mycorrhizal associations. In natural habitats, and in an ecologically meaningful time span, these associations have evolved to improve the fitness of both plant and fungal symbionts. In systems managed by humans, mycorrhizal associations often improve plant productivity, but this is not always the case. Mycorrhizal fungi might be considered to be parasitic on plants when net cost of the symbiosis exceeds net benefits. Parasitism can be developmentally induced, environmentally induced, or possibly genotypically induced. Morphological, phenological, and physiological characteristics of the symbionts influence the functioning of mycorrhizas at an individual scale. Biotic and abiotic factors at the rhizosphere, community, and ecosystem scales further mediate mycorrhizal functioning. Despite the complexity of mycorrhizal associations, it might be possible to construct predictive models of mycorrhizal functioning. These models will need to incorporate variables and parameters that account for differences in plant responses to, and control of, mycorrhizal fungi, and differences in fungal effects on, and responses to, the plant. Developing and testing quantitative models of mycorrhizal functioning in the real world requires creative experimental manipulations and measurements. This work will be facilitated by recent advances in molecular and biochemical techniques. A greater understanding of how mycorrhizas function in complex natural systems is a prerequisite to managing them in agriculture, forestry, and restoration."
240	Johnson2010.pdf	"Johnson, N.C. 2010. Resource stoichiometry elucidates the structure and function of arbuscular mycorrhizas across scales. New Phytologist 185:631-647"	17	"Despite the fact that arbuscular mycorrhizal (AM) associations are among the most ancient, abundant and important symbioses in terrestrial ecosystems, there are currently few unifying theories that can be used to help understand the factors that control their structure and function. This review explores how a stoichiometric perspective facilitates integration of three complementary ecological and evolutionary models of mycorrhizal structure and function. AM symbiotic function should be governed by the relative availability of carbon, nitrogen and phosphorus (trade balance model) and allocation to plant and fungal structures should depend on the availabilities of these resources (functional equilibrium model). Moreover, in an evolutionary framework, communities of plants and AM fungi are predicted to adapt to each other and their local soil environment (co-adaptation model). Anthropogenic enrichment of essential resources in the environment is known to impact AM symbioses. A more predictive theory of AM structure and function will help us to better understand how these impacts may influence plant communities and ecosystem properties."
241	Jones1994.pdf	Jones C.G.; Lawton J. H.; Shachak M. 1994. Organisms as ecosystem engineers. Oikos 69:373-386	14	"Ecosystem engineers are organisms directly that or indirectly modulate the availability of resources to other species, by causing physical state changes in biotic or abiotic materials. In so doing they modify, maintain and create habitats. Autogenic engineers (e.g. corals, or trees) change the environment via their own physical structures (i.e. their living and dead tissues). Allogenic engineers (e.g. woodpeckers, beavers) change the environment by transforming or non-living living materials from one physical state to another, via mechanical or other means. The direct provision of resources to other species, in the form of living or dead tissues is not engineering. Organisms act as engineers when they modulate the supply of a resource or resources other than themselves. We recognise and define five types of engineering and provide examples. Humans are allogenic engineers par excellence, and also mimic the behaviour of autogenic engineers, for example by constructing glasshouses. We explore related concepts including the notions of extended phenotypes and keystone species. Some (but not all) products of ecosystem engineering are extended phenotypes. Many (perhaps most) impacts of keystone species include not only trophic effects, but also engineers and engineering. Engineers differ in their impacts. The biggest effects are attributable to species with large per capita impacts, living at high densities, over large areas for a long time, giving rise to structures that persist for millennia and that modulate many resource flows (e.g. mima mounds created by fossorial rodents). The ephemeral nests constructed by small, passerine birds lie at the opposite end of this continuum. We provide a tentative research agenda for an exploration of the phenom- enon of organisms as ecosystem engineers, and suggest that all habitats on earth support, and are influenced by, ecosystem engineers."
242	Karban1999.pdf	"Karban, R. et al. 1999. Induced plant responses and information content about risk of herbivory. Trends in ecology & evolution 14:443-447"	5	"Plant defenses are plastic when a single genotype can produce different phenotypes depending upon the environment. Plastic responses might be favored by selection only if plants can respond appropriately to reliable information in their environments. Recent findings indicate that when information is accurate, plants can benefit by changing their defenses appropriately but, when information is inaccurate they produce inappropriate defenses and have lower fitness. Plants can potentially use a variety of cues to adjust their defensive phenotypes appropriately. The relationship between the information about risk of herbivory and plant defense can be evaluated by determining if the information available to plants is reliable enough to support the evolution of plastic-induced defenses."
243	Kareiva1987.pdf	"Kareiva, P.; Odell, G. 1987. Swarms of predators exhibit "prey taxis" if individual predators use restricted area search. American Naturalist 130:233-270"	38	"We show that if individual predators restrict the area of their search following an encounter with prey, then this behavior translates into populations of predators flowing toward regions of high prey density. This result requires only that predators move at a constant speed but change their direction of movement more often when their stomachs are full and that increases in prey density increase the feeding rate and stomach fullness of predators. The partial differential equation that is derived by assuming such behavior includes terms representing both random motion and taxis on the part of the predator. The form and magnitude of these terms can be estimated by quantifying how prey density influences the frequency of directional changes in a foraging predator and by obtaining functional-response curves for predators that have been starved for different lengths of time. In general, the strength of a predator's taxis or aggregation response depends on its average velocity of search and on the sensitivity of its turning frequency to changes in prey density, both of which are easily measured. Thus, we show how short-term observations of individual predators can lead to a complete macroscopic description of predator-prey interactions in a spatially distributed environment. We demonstrate the use of our model by applying it to the spatial dynamics of an interaction between goldenrod aphids (Uroleucon nigrotuberculatum) and adult ladybug beetles (Coccinella septempunctata). Although in this specific case the model is limited to predictions on the order of weeks, we show how it might be used to evaluate the effectiveness of different predators as biological control agents. Our particular mechanistic model indicates that the consequences of aggregation for prey control depend on the rates of taxis relative to the rates of prey population growth; only sometimes is predator aggregation sufficient to halt an incipient prey outbreak."
244	Kareiva1983.pdf	"Kareiva, P.M.; Shigesada, N. 1983. Analyzing insect movement as a correlated random walk. Oecologia 56:234-238"	5	"This paper develops a procedure for quantify-ing movement sequences in terms of move length and turning angle probability distributions. By assuming that movement is a correlated random walk, we derive a formula that relates expected square displacements to the number of consecutive moves. We show this displace-ment formula can be used to highlight the consequences of different searching behaviors (i.e. different probability distributions of turning angles or move lengths). Obser-vations of Pieris rapae (cabbage white butterfly) flight and Battus philenor (pipe-vine swallowtail) crawling are analyzed as a correlated random walk. The formula that we derive aptly predicts that net displacements of ovipositing cabbage white butterflies. In other circum-stances, however, net displacements are not well-described by our correlated random walk formula; in these ex-amples movement must represent a more complicated process than a simple correlated random walk. We suggest that progress might be made by analyzing these more complicated cases in terms of higher order markov processes. 1969). Alternatively, much progress has also been made by describing movement with analytical models that rely on the assumption of random motion (see especially, the pioneering work of Broadbent and Kendall 1953; Skellam 1951). In this paper, we extend an earlier formula concerning discrete random walks (see appendix of Jones 1977) and develop an analytic expression for net displace-ment in a correlated random walk. The formula that we develop fills a gap somewhere between the powerful general diffusion models of Skellam (1951) and the realistic detailed simulations of Jones (1977). One of the advantages of our approach is that it produces a summary of behavior that enables compari-sons to be made between different organisms, or for the same organism in different situations. In particular, by making the assumption of correlated random movement, we derive a formula for expected net displacement in terms of easily observed distance and directionality parameters. This formula can serve as a means for exploring the consequences of varying rules of movement. We illustrate the approach by applying it to two examples of insect movement."
245	Kawecki2004.pdf	"Kawecki, T.J.; Ebert, D. 2004. Conceptual issues in local adaptation. Ecology Letters 7:1225-1241"	17	"Studies of local adaptation provide important insights into the power of natural selection relative to gene flow and other evolutionary forces. They are a paradigm for testing evolutionary hypotheses about traits favoured by particular environmental factors. This paper is an attempt to summarize the conceptual framework for local adaptation studies. We first review theoretical work relevant for local adaptation. Then we discuss reciprocal transplant and common garden experiments designed to detect local adaptation in the pattern of deme x habitat interaction for fitness. Finally, we review research questions and approaches to studying the processes of local adaptation - divergent natural selection, dispersal and gene flow, and other processes affecting adaptive differentiation of local demes. We advocate multifaceted approaches to the study of local adaptation, and stress the need for experiments explicitly addressing hypotheses about the role of particular ecological and genetic factors that promote or hinder local adaptation. Experimental evolution of replicated populations in controlled spatially heterogeneous environments allow direct tests of such hypotheses, and thus would be a valuable way to complement research on natural populations."
246	Kearney2009.pdf	"Kearney, M.; Porter, W. 2009. Mechanistic niche modelling: combining physiological and spatial data to predict species' ranges. Ecology Letters 12:334-350"	17	"Species distribution models (SDMs) use spatial environmental data to make inferences on species’ range limits and habitat suitability. Conceptually, these models aim to determine and map components of a species’ ecological niche through space and time, and they have become important tools in pure and applied ecology and evolutionary biology. Most approaches are correlative in that they statistically link spatial data to species distribution records. An alternative strategy is to explicitly incorporate the mechanistic links between the functional traits of organisms and their environments into SDMs. Here, we review how the principles of biophysical ecology can be used to link spatial data to the physiological responses and constraints of organisms. This provides a mechanistic view of the fundamental niche which can then be mapped to the landscape to infer range constraints. We show how physiologically based SDMs can be developed for different organisms in different environmental contexts. Mechanistic SDMs have different strengths and weaknesses to correlative approaches, and there are many exciting and unexplored prospects for integrating the two approaches. As physiological knowledge becomes better integrated into SDMs, we will make more robust predictions of range shifts in novel or non-equilibrium contexts such as invasions, translocations, climate change and evolutionary shifts."
247	Keddy1992.pdf	"Keddy, P.A. 1992. Assembly and response rules: two goals for predictive community ecology. Journal of Vegetation Science 3:157-164"	8	"Assembly rules provide one possible unifying frame-work for community ecology. Given a species pool, and measured traits for each species, the objective is to specify which traits (and therefore which subset of species) will occur in a particular environment. Because the problem primarily involves traits and environments. answers should be generalizable to systems with very different taxonomic composition. In this context, the environment functions like a filter (or sieve) removing all species lacking specified combinations of traits. In this way, assembly rules are a community level analogue of natural selection. Response rules follow a similar process except that they transform a vector of species abundances to a new vector using the same information. Examples already exist from a range of habitats, scales. and kinds of organisms."
248	Keddy2005.pdf	"Keddy, P.A. 2005. Milestones in ecological thought - A canon for plant ecology. Journal of Vegetation Science 16:145-150"	6	"Scientific progress in plant ecology is at risk of being obscured by increasing ignorance of major works in the field. The driving force seems to be the twin seductions Of novelty and crowd psychology. I illustrate this tendency with three examples from plant community ecology that span the past thirty years of ecological research. I offer, as one solution, the concept of a canon: a short list of essential books that we assume all students and co-workers have read, a short list that summarizes the wisdom of the discipline. A canon can be likened to DNA, be it in music, art, or science, as it carries forward through time the key ideas that have worked in the past. Without a canon, there is no memory of past achievement. no context for appreciating current work, and no way of judging the quality of newer productions. I suggest 20 essential books (the short canon), and 22 complementary readings, for a total of 42 books needed in any young professional's library on plant ecology."
249	Keller1998.pdf	Keller L.; Ross K.G. 1998. Selfish genes: a green beard in the red fire ant. Nature 394:573-575	3	"A ‘green-beard’ gene is defined as a gene that causes a phenotypic effect (such as the presence of a green beard or any other conspicuous feature), allows the bearer of this feature to recognize it in other individuals, and causes the bearer to behave differently towards other individuals depending on whether or not they possess the feature1–3 theoretical grounds to be agents mediating both altruism and intragenomic conflicts1,2 have been identified4,5 . Such genes have been proposed on , but until now few, if any, of these genes . Here we provide evidence of a green- beard gene in the red imported fire ant, Solenopsis invicta.In polygyne (multiple-queen) colonies, all egg-laying queens are Bb heterozygotes at the locus Gp-9 (ref. 6). Previous studies sug- gested that bb females die prematurely from intrinsic causes6 ;we now show that BB queens initiating reproduction are killed by workers, and that it is primarily Bb rather than BB workers that are responsible for these executions. This implies that allele Gp- 9b is linked to a green-beard allele that preferentially induces workers bearing the allele to kill all queens that do not bear it. Workers appear to distinguish"
250	Kelly2013.pdf	"Kelly, M.W.; Padilla-Gamino, J.L.; Hofmann, G.E. 2013. Natural variation and the capacity to adapt to ocean acidification in the keystone sea urchin Strongylocentrotus purpuratus. Global Change Biology 19:2536-2546"	11	"A rapidly growing body of literature documents the potential negative effects of CO2 -driven ocean acidification (OA) on marine organisms. However, nearly all this work has focused on the effects of future conditions on modern populations, neglecting the role of adaptation. Rapid evolution can alter demographic responses to environmental change, ultimately affecting the likelihood of population persistence, but the capacity for adaptation will differ among populations and species. Here, we measure the capacity of the ecologically important purple sea urchin Strongylocentrotus purpuratus to adapt to OA, using a breeding experiment to estimate additive genetic variance for larval size (an important component of fitness) under future high-pCO2 /low-pH conditions. Although larvae reared under future conditions were smaller than those reared under present-day conditions, we show that there is also abundant genetic variation for body size under elevated pCO2 , indicating that this trait can evolve. The observed heritability of size was 0.40   ± 0.32 (95% CI) under low pCO2 , and 0.50   ± 0.30 under high-pCO2 conditions. Accounting for the observed genetic variation in models of future larval size and demographic rates substantially alters projections of performance for this species in the future ocean. Importantly, our model shows that after incorporating the effects of adaptation, the OA-driven decrease in population growth rate is up to 50% smaller, than that predicted by the 'no-adaptation' scenario. Adults used in the experiment were collected from two sites on the coast of the Northeast Pacific that are characterized by different pH regimes, as measured by autonomous sensors. Comparing results between sites, we also found subtle differences in larval size under high-pCO2 rearing conditions, consistent with local adaptation to carbonate chemistry in the field. These results suggest that spatially varying selection may help to maintain genetic variation necessary for adaptation to future OA."
251	Kerr2002.pdf	"Kerr, B. et al. 2002. Local dispersal promotes biodiversity in a real-life game of rock-paper-scissors. Nature 418:171-174"	0	"One of the central aims of ecology is to identify mechanisms that maintain biodiversity. Numerous theoretical models have shown that competing species can coexist if ecological processes such as dispersal, movement, and interaction occur over small spatial scales. In particular, this may be the case for non-transitive communities, that is, those without strict competitive hierarchies. The classic non-transitive system involves a community of three competing species satisfying a relationship similar to the children's game rock-paper-scissors, where rock crushes scissors, scissors cuts paper, and paper covers rock. Such relationships have been demonstrated in several natural systems. Some models predict that local interaction and dispersal are sufficient to ensure coexistence of all three species in such a community, whereas diversity is lost when ecological processes occur over larger scales. Here, we test these predictions empirically using a non-transitive model community containing three populations of Escherichia coli. We find that diversity is rapidly lost in our experimental community when dispersal and interaction occur over relatively large spatial scales, whereas all populations coexist when ecological processes are localized."
252	Kettlewell1955.pdf	"Kettlewell, H.B.D. 1955. Selection experiments on industrial malanism in the Lepidoptera. Heredity 9:323-342"	20	No Abstract
253	Kiers2010.pdf	"Kiers, T.E. et al. 2010. Mutualisms in a changing world: an evolutionary perspective. Ecology Letters 13:1459-1474"	16	"There is growing concern that rapid environmental degradation threatens mutualistic interactions. Because mutualisms can bind species to a common fate, mutualism breakdown has the potential to expand and accelerate effects of global change on biodiversity loss and ecosystem disruption. The current focus on the ecological dynamics of mutualism under global change has skirted fundamental evolutionary issues. Here, we develop an evolutionary perspective on mutualism breakdown to complement the ecological perspective, by focusing on three processes: (1) shifts from mutualism to antagonism, (2) switches to novel partners and (3) mutualism abandonment. We then identify the evolutionary factors that may make particular classes of mutualisms especially susceptible or resistant to breakdown and discuss how communities harbouring mutualisms may be affected by these evolutionary responses. We propose a template for evolutionary research on mutualism resilience and identify conservation approaches that may help conserve targeted mutualisms in the face of environmental change."
254	Kimura1968.pdf	"Kimura, M. 1968. Evolutionary Rate at the Molecular Level. Nature 217:624-626"	3	No Abstract
255	Kingsolver2001.pdf	"Kingsolver, J.G. et al. 2001. The strength of phenotypic selection in natural populations. The American Naturalist 157:245-261"	17	"How strong is phenotypic selection on quantitative traits in the wild? We reviewed the literature from 1984 through 1997 for studies that estimated the strength of linear and quadratic selection in terms of standardized selection gradients or differentials on natural variation in quantitative traits for field populations. We tabulated 63 published studies of 62 species that reported over 2,500 estimates of linear or quadratic selection. More than 80% of the estimates were for morphological traits; there is very little data for behavioral or physiological traits. Most published selection studies were unreplicated and had sample sizes below 135 individuals, resulting in low statistical power to detect selection of the magnitude typically reported for natural populations. The absolute values of linear selection gradients |beta| were exponentially distributed with an overall median of 0.16, suggesting that strong directional selection was uncommon. The values of |beta| for selection on morphological and on life-history/phenological traits were significantly different: on average, selection on morphology was stronger than selection on phenology/life history. Similarly, the values of |beta| for selection via aspects of survival, fecundity, and mating success were significantly different: on average, selection on mating success was stronger than on survival. Comparisons of estimated linear selection gradients and differentials suggest that indirect components of phenotypic selection were usually modest relative to direct components. The absolute values of quadratic selection gradients |gamma| were exponentially distributed with an overall median of only 0.10, suggesting that quadratic selection is typically quite weak. The distribution of gamma values was symmetric about 0, providing no evidence that stabilizing selection is stronger or more common than disruptive selection in nature."
256	Kirkpatrick1997.pdf	"Kirkpatrick, M.; Barton, N.H. 2014. Evolution of a species' range. The American Naturalist 150:44927"	1	"Gene flow from the center of a species’ range can stymie adaptation at the periphery and prevent the range from expanding outward. We study this process using simple models that track both demography and the evolution of a quantitative trait in a population that is continu- ously distributed in space. Stabilizing selection acts on the trait and favors an optimum pheno- type that changes linearly across the habitat. One of three outcomes is possible: the species will become extinct, expand to fill all of the available habitat, or be confined to a limited range in which it is sufficiently adapted to allow population growth. When the environment changes rap- idly in space, increased migration inhibits local adaptation and so decreases the species’ total population size. Gene flow can cause enough maladaptation that the peripheral half of a species’ range acts as a demographic sink. The trait’s genetic variance has little effect on species persis- tence or the size of the range when gene flow is sufficiently strong to keep population densities far below the carrying capacity throughout the range, but it can increase the range width and population size of an abundant species. Under some conditions, a small parameter change can dramatically shift the balance between gene flow and local adaptation, allowing a species with a limited range to suddenly expand to fill all the available habitat."
257	Koerner2006.pdf	"Körner, C. 2006. Plant CO2 responses: An issue of definition, time and resource supply. New Phytol 172:393-411"	19	"In this review I am drawing attention to some constraints and biases in CO2 enrichment experiments and the analysis of data in the literature. Conclusions drawn from experimental works differ when the data are grouped in a way such that the relative frequency of test conditions does not determine the emerging trends, for instance unrealistically strong CO2-'fertilization' effects, which are in conflict with some basic ecological principles. I suggest separating three test conditions: uncoupled systems (plants not depending in a natural nutrient cycle) (I); expanding systems, in which plants are given ample space and time to explore otherwise limited resources (II); and fully coupled systems in which the natural nutrient cycling governs growth at steady-state leaf area index (LAI) and fine root renewal (III). Data for 10 type III experiments yield rather moderate effects of elevated CO2 on plant biomass production, if any. In steady-state grassland, the effects are water-related; in closed tree stands, initial effects decline rapidly with time. Plant-soil coupling (soil conditions) deserves far greater attention than plant-atmosphere coupling (CO2 enrichment technology)."
258	Koerner2015.pdf	"Körner, C. 2015. Paradigm shift in plant growth control. Current Opinion in Plant Biology 25:107-114"	8	"For plants to grow they need resources and appropriate conditions that these resources are converted into biomass. While acknowledging the importance of co-drivers, the classical view is still that carbon, that is, photosynthetic CO 2 uptake, ranks above any other drivers of plant growth. Hence, theory and modelling of growth traditionally is carbon centric. Here, I suggest that this view is not reflecting reality, but emerged from the availability of methods and process understanding at leaf level. In most cases, poorly understood processes of tissue formation and cell growth are governing carbon demand, and thus, CO 2 uptake. Carbon can only be converted into biomass to the extent chemical elements other than carbon, temperature or cell turgor permit."
259	Kot1996.PDF	"Kot, M.; Lewis, M.A.; Van Den Driessche, P. 1996. Dispersal data and the spread of invading organisms. Ecology 77:2027-2042"	16	"Models that describe the spread of invading organisms often assume that the dispersal distances of propagules are normally distributed. In contrast, measured dispersal curves are typically leptokurtic, not normal. In this paper, we consider a class of models, integrodifference equations, that directly incorporate detailed dispersal data as well as population growth dynamics. We provide explicit formulas for the speed of invasion for compensatory growth and for different choices of the propagule redistribution kernel and apply these formulas to the spread of D. pseudoobscura. We observe that: (1) the speed of invasion of a spreading population is extremely sensitive to the precise shape of the redistribution kernel and, in particular, to the tail of the distribution; (2) fat-tailed kernels can generate accelerating invasions rather than constant-speed travelling waves; (3) normal redistribution kernels (and by inference, many reaction-diffusion models) may grossly underestimate rates of spread of invading populations in comparison with models that incorporate more realistic leptokurtic distributions; and (4) the relative superiority of different redistribution kernels depends, in general, on the precise magnitude of the net reproductive rate. The addition of an Allee effect to an integrodifference equation may decrease the overall rate of spread. An Allee effect may also introduce a critical range; the population must surpass this spatial threshold in order to invade successfully. Fat-tailed kernels and Allee effects provide alternative explanations for the accelerating rates of spread observed for many invasions"
260	Kunin1993.pdf	"Kunin, W.E.; Gaston, K.J. 1993. The biology of rarity: Patterns, causes and consequences. Trends in Ecology & Evolution 8:298-301"	4	"There is a growing body of evidence suggesting that locally rare and geographically restricted species may have characteristics that differ from those of taxa that are more common. Several studies show that rare taxa have lower levels of self-incompatibility, a tendency toward asexual reproductive pathways, lower overall reproductive effort and poorer dispersal abilities. There are several mechanisms that could be responsible for such differences, but they may in practice be difficult to differentiate. Nonetheless, the documentation of recurrent rare-common differences is of vital importance because it may allow us to compensate partially for the bias of the published literature toward studies of common taxa."
261	Lande1983.pdf	"Lande, R.; Arnold, S.J. 1983. The measurement of selection on correlated characters. Evolution 37:1210-1226"	17	"Natural selection acts on phenotypes, regardless of their genetic basis, and produces immediate phenotypic effects within a generation that can be measured without recourse to principles of heredity or evolution. In contrast, evolutionary response to selection, the genetic change that occurs from one generation to the next, does depend on genetic variation. Animal and plant breeders routinely distinguish phenotypic selection from evolutionary response to selection (Mayo, 1980; Falconer, 1981). Upon making this critical distinction, emphasized by Haldane (1954), precise methods can be formulated for the measurement of phenotypic natural selection."
262	Lande1980.pdf	"Lande, R. 1980. Sexual dimorphism, sexual selection, and adaptation in polygenic characters. Evolution 34:292-305"	14	"The evolution of sexual dimorphism in quantitative characters under natural and sexual selection acting differently on the sexes is analyzed using population genetics models. The effects of genes when in males may be correlated with their effects when in females, producing correlated selective responses between the sexes, so that male and female phenotypes cannot evolve independently But under weak natural selection with constant relative fitnesses, in the absence of sexual selection, the joint evolution of the mean phenotypes of the sexes increases the mean fitness in a population, and if there is genetic variation for sexual dimorphism each sex eventually achieves a locally optimum phenotype. With sexual selection, fitnesses are generally frequency-dependent and evolution of the mean phenotypes does not maximize the mean fitness. Provided individual fitnesses exist, at equilibrium natural and sexual selection balance in each sex. A moderate intensity of sexual selection acting on a character under weak natural selection toward an intermediate optimum phenotype can produce a large deviation of the mean phenotype from the optimum and a substantial decrease of the mean fitness in a population, increasing the probability of extinction. When homologous characters in males and females vary similarly and are highly correlated genetically, the rate of evolution of sexual dimorphism may be one or more orders of magnitude slower than that for the average phenotype in a population. Methods for partitioning sexual dimorphism into contributions from natural and sexual selection are discussed, and genetic experiments are suggested for testing the involvement of non-equilibrium correlated selective responses between the sexes in observed cases of sexual dimorphism."
263	Lande1981.pdf	"Lande, R. 1981. Models of speciation by sexual selection on polygenic traits. Proceedings of the National Academy of Sciences of the United States of America 78:3721-3725"	5	"The joint evolution of female mating preferences and secondary sexual characters of males is modeled for polygamous species in which males provide only genetic material to the next generation and females have many potential mates to choose among. Despite stabilizing natural selection on males, various types of mating preferences may create a runaway process in which the outcome of phenotypic evolution depends critically on the genetic variation parameters and initial conditions of a population. Even in the absence of genetic instability, rapid evolution can result from an interaction of natural and sexual selection with random genetic drift along lines of equilibria. The models elucidate genetic mechanisms that can initiate or contribute to rapid speciation by sexual isolation and divergence of secondary sexual characters."
